date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:24:28	5927/5927	---MCZ	200	added ('OK')	text/html	etag:W/%2263ffdea8-1727%22	https://blog.pseudot.org/posts/pseudopost-8/pseudopost-8.html	blog.pseudot.org/posts/pseudopost-8/pseudopost-8.html	(from )
18:24:29	114/114	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	date:Sat,%2027%20May%202023%2016:23:45%20GMT	https://blog.pseudot.org/robots.txt		(from )
18:24:30	199250/199250	---M--	200	added ('OK')	image/jpeg	etag:%2263ffdea8-30a52%22	https://blog.pseudot.org/posts/pseudopost-8/images/luton.jpeg	blog.pseudot.org/posts/pseudopost-8/images/luton.jpg	(from https://blog.pseudot.org/posts/pseudopost-8/pseudopost-8.html)
18:24:32	516692/516692	---M--	200	added ('OK')	image/jpeg	etag:%2263ffdea8-7e254%22	https://blog.pseudot.org/posts/pseudopost-8/images/statue.jpeg	blog.pseudot.org/posts/pseudopost-8/images/statue.jpg	(from https://blog.pseudot.org/posts/pseudopost-8/pseudopost-8.html)
18:24:32	450701/450701	---M--	200	added ('OK')	image/jpeg	etag:%2263ffdea8-6e08d%22	https://blog.pseudot.org/posts/pseudopost-8/images/metro.jpeg	blog.pseudot.org/posts/pseudopost-8/images/metro.jpg	(from https://blog.pseudot.org/posts/pseudopost-8/pseudopost-8.html)
18:24:35	570961/570961	---M--	200	added ('OK')	image/jpeg	etag:%2263ffdea8-8b651%22	https://blog.pseudot.org/posts/pseudopost-8/images/min.jpeg	blog.pseudot.org/posts/pseudopost-8/images/min.jpg	(from https://blog.pseudot.org/posts/pseudopost-8/pseudopost-8.html)
18:24:35	385558/385558	---M--	200	added ('OK')	image/jpeg	etag:%2263ffdea8-5e216%22	https://blog.pseudot.org/posts/pseudopost-8/images/trafalgar.jpeg	blog.pseudot.org/posts/pseudopost-8/images/trafalgar.jpg	(from https://blog.pseudot.org/posts/pseudopost-8/pseudopost-8.html)
18:24:35	1191509/1191509	---M--	200	added ('OK')	image/jpeg	etag:%2263ffdea8-122e55%22	https://blog.pseudot.org/posts/pseudopost-8/images/coloane.jpeg	blog.pseudot.org/posts/pseudopost-8/images/coloane.jpg	(from https://blog.pseudot.org/posts/pseudopost-8/pseudopost-8.html)
18:24:37	364657/364657	---M--	200	added ('OK')	image/jpeg	etag:%2263ffdea8-59071%22	https://blog.pseudot.org/posts/pseudopost-8/images/bigben.jpeg	blog.pseudot.org/posts/pseudopost-8/images/bigben.jpg	(from https://blog.pseudot.org/posts/pseudopost-8/pseudopost-8.html)
18:24:39	259460/259460	---M--	200	added ('OK')	image/jpeg	etag:%2263ffdea8-3f584%22	https://blog.pseudot.org/posts/pseudopost-8/images/afis.jpeg	blog.pseudot.org/posts/pseudopost-8/images/afis.jpg	(from https://blog.pseudot.org/posts/pseudopost-8/pseudopost-8.html)
18:24:39	448019/448019	---M--	200	added ('OK')	image/jpeg	etag:%2263ffdea8-6d613%22	https://blog.pseudot.org/posts/pseudopost-8/images/prop1.jpeg	blog.pseudot.org/posts/pseudopost-8/images/prop1.jpg	(from https://blog.pseudot.org/posts/pseudopost-8/pseudopost-8.html)
18:24:39	721752/721752	---M--	200	added ('OK')	image/jpeg	etag:%2263ffdea8-b0358%22	https://blog.pseudot.org/posts/pseudopost-8/images/nice.jpeg	blog.pseudot.org/posts/pseudopost-8/images/nice.jpg	(from https://blog.pseudot.org/posts/pseudopost-8/pseudopost-8.html)
18:24:41	18234/18234	---M--	200	added ('OK')	image/gif	etag:%2263ffdea8-473a%22	https://blog.pseudot.org/posts/pseudopost-8/images/music.gif	blog.pseudot.org/posts/pseudopost-8/images/music.gif	(from https://blog.pseudot.org/posts/pseudopost-8/pseudopost-8.html)
18:24:41	518135/518135	---M--	200	added ('OK')	image/jpeg	etag:%2263ffdea8-7e7f7%22	https://blog.pseudot.org/posts/pseudopost-8/images/chinezesc.jpeg	blog.pseudot.org/posts/pseudopost-8/images/chinezesc.jpg	(from https://blog.pseudot.org/posts/pseudopost-8/pseudopost-8.html)
18:24:41	331041/331041	---M--	200	added ('OK')	image/jpeg	etag:%2263ffdea8-50d21%22	https://blog.pseudot.org/posts/pseudopost-8/images/1euro.jpeg	blog.pseudot.org/posts/pseudopost-8/images/1euro.jpg	(from https://blog.pseudot.org/posts/pseudopost-8/pseudopost-8.html)
